PC1,PC2,Name
-7.112641654368557,0.7394330682247313,Bernat
-2.418053836331469,5.330221567135018,M. Keane
-2.8692669174108625,4.527178160427379,E. Bailly
-2.2031862456112177,5.040973721723072,Sergi Gómez
-4.183100022702333,4.330638347315745,M. Hinteregger
-2.2948933421328173,5.3624360141263026,M. Nastasić
-4.83434744174233,3.7294798330037846,P. Kadeřábek
-3.803862285173592,4.412076757975989,Iñigo Martínez
-5.663517329353141,3.669634023970335,M. Halstenberg
-4.10004097380086,4.469798076609148,L. Perrin
-4.328805187152193,3.629462558627268,S. Radu
-6.372664051287727,2.752022373229549,D. Rose
-3.1192857297463306,4.903258548805854,Naldo
-5.254741564988038,4.110755586101893,L. Bender
-3.0673994892541994,4.554401413514146,S. Bender
-7.0376030091274595,1.7336562615453865,Antunes
